Year,Brand,Luxury or Mass-Market,Net Sales (SEK Millions),Gross Profit (SEK Millions),Net Income (SEK Millions),Fiscal Quarter,Exchange Rate (SEK/USD),Net Sales (USD Millions),Gross Profit (USD Millions),Net Income (USD Millions)
2012,H&M,Mass-Market,27832,15537,3701,Q1,6.772,4109.864146485528,2294.3000590667452,546.5150620200827
2012,H&M,Mass-Market,31658,19546,5219,Q2,6.772,4674.837566450088,2886.29651506202,770.6733608978145
2012,H&M,Mass-Market,28806,16771,3622,Q3,6.772,4253.691671588896,2476.520968694625,534.849379799173
2012,H&M,Mass-Market,32502,20017,5287,Q4,6.772,4799.468399291199,2955.8476077968103,780.7147076196102
2013,H&M,Mass-Market,28392,15679,3234,Q1,6.514,4358.612219834203,2406.969603929997,496.4691433834817
2013,H&M,Mass-Market,36923,23010,6125,Q2,6.514,5668.252993552349,3532.3917715689286,940.2824685293215
2013,H&M,Mass-Market,32040,18828,5830,Q3,6.514,4918.636782315014,2890.3899293828676,894.995394534848
2013,H&M,Mass-Market,36495,22189,7337,Q4,6.514,5602.548357384096,3406.355541909733,1126.3432606693275
2014,H&M,Mass-Market,32143,17641,3486,Q1,6.858,4686.934966462526,2572.324292796734,508.3114610673666
2014,H&M,Mass-Market,37827,23010,7643,Q2,6.858,5515.748031496063,3355.2055993000877,1114.4648585593468
2014,H&M,Mass-Market,38805,22627,6967,Q3,6.858,5658.3552055993005,3299.358413531642,1015.8938466025081
2014,H&M,Mass-Market,42644,25774,7799,Q4,6.858,6218.139399241762,3758.2385535141443,1137.2120151647712
2015,H&M,Mass-Market,40276,22213,4723,Q1,8.435,4774.866627148785,2633.432128037937,559.9288678126852
2015,H&M,Mass-Market,45867,27245,8435,Q2,8.435,5437.700059276823,3229.9940723177237,999.9999999999999
2015,H&M,Mass-Market,46024,25712,6936,Q3,8.435,5456.312981624184,3048.251333728512,822.2880853586247
2015,H&M,Mass-Market,48694,27997,7148,Q4,8.435,5772.851215174866,3319.1464137522225,847.4214582098399
2016,H&M,Mass-Market,50624,22699,3327,Q1,8.561,5913.327882256745,2651.4425884826537,388.6228244363976
2016,H&M,Mass-Market,54341,26980,7002,Q2,8.561,6347.5061324611615,3151.500992874664,817.8951057119496
2016,H&M,Mass-Market,56802,26471,6301,Q3,8.561,6634.9725499357555,3092.0453218082,736.0121481135382
2016,H&M,Mass-Market,61098,30027,7409,Q4,8.561,7136.783086088074,3507.4173577853053,865.4362808083168
2017,H&M,Mass-Market,54369,24466,3212,Q1,8.538,6367.884750527055,2865.5422815647694,376.2005153431717
2017,H&M,Mass-Market,59538,29345,7708,Q2,8.538,6973.295853829936,3436.9875849144996,902.7875380651207
2017,H&M,Mass-Market,59383,26350,5016,Q3,8.538,6955.141719372218,3086.202857812134,587.4912157413914
2017,H&M,Mass-Market,58481,27929,4873,Q4,8.538,6849.496369173108,3271.1407823846334,570.7425626610448
2018,H&M,Mass-Market,53554,23040,1263,Q1,8.694,6159.880377271681,2650.1035196687367,145.27260179434091
2018,H&M,Mass-Market,60463,29164,4638,Q2,8.694,6954.566367609845,3354.497354497354,533.4713595583161
2018,H&M,Mass-Market,64800,28091,4012,Q3,8.694,7453.416149068322,3231.078904991948,461.46767885898316
2018,H&M,Mass-Market,56414,30592,4352,Q4,8.694,6488.842880147227,3518.7485622268227,500.5751092707614
2019,H&M,Mass-Market,51015,25526,1043,Q1,9.46,5392.706131078224,2698.30866807611,110.2536997885835
2019,H&M,Mass-Market,57474,1825,5934,Q2,9.46,6075.475687103593,192.91754756871035,627.2727272727273
2019,H&M,Mass-Market,62572,31815,5011,Q3,9.46,6614.376321353065,3363.1078224101475,529.7040169133192
2019,H&M,Mass-Market,61694,33287,5403,Q4,9.46,6521.5644820295975,3518.7103594080336,571.1416490486257
2020,H&M,Mass-Market,54948,28034,2504,Q1,9.195,5975.856443719413,3048.830886351278,272.32191408374115
2020,H&M,Mass-Market,28664,13284,-6482,Q2,9.195,3117.3463839042956,1444.6982055464925,-704.9483414899402
2020,H&M,Mass-Market,50870,24851,2365,Q3,9.195,5532.354540511147,2702.664491571506,257.20500271886897
2020,H&M,Mass-Market,52543,27375,3665,Q4,9.195,5714.301250679717,2977.1615008156605,398.58618814573134
2021,H&M,Mass-Market,40060,9057,-1389,Q1,8.581,4668.45356019112,1055.471390280853,-161.86924600862372
2021,H&M,Mass-Market,46509,25049,3593,Q2,8.581,5419.997669269316,2919.12364526279,418.7157673930777
2021,H&M,Mass-Market,55585,29559,6093,Q3,8.581,6477.6832537000355,3444.7034145204525,710.0571029017598
2021,H&M,Mass-Market,56813,31341,6003,Q4,8.581,6620.7901177019,3652.371518471041,699.5688148234472
2022,H&M,Mass-Market,49166,24260,217,Q1,10.634,4623.471882640587,2281.361670114726,20.40624412262554
2022,H&M,Mass-Market,54504,29846,4782,Q2,10.634,5125.446680458906,2806.6578897874742,449.68967462854994
2022,H&M,Mass-Market,57450,28160,2151,Q3,10.634,5402.4826029716005,2648.109836373895,202.2757193906338
2022,H&M,Mass-Market,62433,31011,-864,Q4,10.634,5871.0739138612,2916.2121497084822,-81.24882452510815
2023,H&M,Mass-Market,54872,25886,540,Q1,10.924,5023.0684730867815,2369.6448187477117,49.43244232881729
2023,H&M,Mass-Market,57616,30338,3288,Q2,10.924,5274.258513365068,2777.18784328085,300.9886488465764
2023,H&M,Mass-Market,60897,31015,3319,Q3,10.924,5574.606371292567,2839.1614793116078,303.82643720248996
2023,H&M,Mass-Market,62650,33657,1576,Q4,10.924,5735.078725741487,3081.0142804833395,144.26949835225193
2024,H&M,Mass-Market,53699,27655,1201,Q1,11.029,4868.8911052679305,2507.4802792637593,108.89473206999727
2024,H&M,Mass-Market,59605,33569,4995,Q2,11.029,5404.388430501405,3043.70296491069,452.89690815123765
2024,H&M,Mass-Market,59011,30133,2307,Q3,11.029,5350.53041980234,2732.1606673315805,209.17580923021126
2024,H&M,Mass-Market,62193,33942,3081,Q4,11.029,5639.042524254239,3077.5228941880496,279.35442923202464
